player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Joao Lucas Reis Da Silva,25.5,1453.2,1375.9,344.0,1433.7,273.0,1426.6,297.0,1526.9,2025-06,211.0,0.41
Vitaliy Sachko,28.2,1450.3,1381.2,339.0,1450.8,258.0,1371.9,391.0,1643.5,2023-07,222.0,0.36
Maxim Mrva,18.2,1449.6,1465.4,255.0,1386.8,325.0,1474.8,218.0,1619.4,2025-03,355.0,-0.1
Oliver Crawford,26.4,1448.0,1401.6,317.0,1382.4,330.0,1462.1,235.0,1580.7,2023-10,192.0,0.51
Arthur Bouquier,24.8,1447.9,1443.0,274.0,1303.9,409.0,1411.4,320.0,1732.0,2025-03,232.0,0.33
Karue Sell,31.7,1446.2,1413.5,302.0,1411.8,299.0,1423.1,300.0,1529.3,2024-10,484.0,-0.4
Mika Brunold,21.0,1445.2,1412.0,306.0,1399.5,312.0,1422.6,301.0,1510.9,2025-07,304.0,0.06
Andrej Martin,35.9,1444.0,1359.8,362.0,1416.4,292.0,1334.3,448.0,1674.7,2014-08,388.0,-0.18
Inaki Montes De La Torre,23.0,1442.6,1421.0,297.0,1363.8,356.0,1421.3,303.0,1529.0,2025-02,363.0,-0.11
Nicolas Kicker,33.1,1441.9,1385.8,331.0,1434.0,272.0,1370.4,395.0,1706.2,2018-05,278.0,0.16
Dmitry Popko,28.9,1441.7,1439.5,278.0,1389.5,323.0,1351.1,424.0,1631.7,2020-01,225.0,0.38
Ioannis Xilas,24.4,1440.5,1422.7,295.0,1470.3,242.0,1470.3,225.0,1652.3,2025-08,495.0,-0.41
Aziz Dougaz,28.3,1438.8,1412.7,304.0,1425.7,284.0,1390.3,356.0,1555.3,2020-02,289.0,0.13
Pedro Boscardin Dias,22.7,1438.0,1256.9,448.0,1428.3,282.0,1419.0,305.0,1444.6,2025-10,283.0,0.16
Alex Rybakov,28.7,1437.9,1409.3,309.0,1379.9,336.0,1440.1,276.0,1516.5,2022-07,268.0,0.21
Murphy Cassone,23.1,1436.3,1417.9,300.0,1322.3,395.0,1402.3,334.0,1684.9,2025-02,245.0,0.31
Antoine Escoffier,33.6,1435.7,1413.4,303.0,1258.4,446.0,1360.8,410.0,1628.4,2023-03,414.0,-0.21
Bernabe Zapata Miralles,28.7,1433.4,1390.2,327.0,1419.9,289.0,1433.6,289.0,1779.9,2023-05,417.0,-0.22
Daniel Masur,30.8,1433.0,1406.4,313.0,1397.1,313.0,1412.0,319.0,1621.9,2021-03,444.0,-0.28
Mili Poljicak,21.1,1433.0,1277.6,431.0,1418.7,290.0,1380.6,380.0,1508.5,2025-05,392.0,-0.15
Eliakim Coulibaly,23.4,1432.6,1410.8,308.0,1365.2,354.0,1416.3,308.0,1537.1,2025-05,292.0,0.15
Kenta Miyoshi,21.4,1431.0,1396.6,321.0,1325.5,392.0,1415.5,309.0,1495.1,2025-07,598.0,-0.57
Clement Tabur,25.7,1431.0,1361.7,361.0,1403.1,309.0,1385.0,372.0,1565.2,2025-06,243.0,0.34
Jakub Paul,26.5,1430.8,1374.8,347.0,1377.3,340.0,1415.4,310.0,1506.3,2025-08,321.0,0.06
Samir Banerjee,22.0,1427.9,1407.5,311.0,1324.0,394.0,1414.0,312.0,1472.4,2025-09,347.0,-0.01
Paul Jubb,25.7,1426.6,1401.3,318.0,1338.5,381.0,1445.6,262.0,1632.1,2022-03,382.0,-0.11
Arthur Gea,20.8,1426.3,1384.5,332.0,1414.6,295.0,1413.1,314.0,1506.3,2025-06,227.0,0.42
Enrico Dalla Valle,27.5,1426.1,1337.0,384.0,1413.2,298.0,1413.1,315.0,1543.6,2024-07,467.0,-0.3
Murkel Alejandro Dellien Velasco,28.0,1424.7,1375.5,346.0,1409.6,301.0,1391.2,355.0,1602.5,2022-01,265.0,0.27
Matheus Pucinelli De Almeida,24.5,1422.9,1303.1,412.0,1407.5,305.0,1412.3,318.0,1650.0,2022-03,305.0,0.13
Christoph Negritu,31.6,1421.9,1365.4,357.0,1417.0,291.0,1411.0,321.0,1540.2,2024-11,297.0,0.16
Jay Clarke,27.2,1420.2,1368.0,353.0,1414.1,296.0,1331.8,454.0,1617.4,2018-07,203.0,0.54
Edward Winter,21.0,1418.1,1374.7,348.0,1319.1,399.0,1436.6,283.0,1440.2,2025-10,461.0,-0.28
Fajing Sun,29.0,1417.2,1392.5,324.0,1240.2,458.0,1387.6,365.0,1487.1,2025-07,263.0,0.29
Adria Soriano Barrera,26.3,1416.6,1405.7,316.0,1336.1,386.0,1408.3,325.0,1429.0,2025-07,307.0,0.14
Carlo Alberto Caniato,19.9,1414.6,1345.9,373.0,1383.9,329.0,1407.3,326.0,1451.2,2025-09,,
Ivan Gakhov,28.9,1414.2,1315.4,406.0,1393.9,315.0,1378.6,382.0,1659.6,2023-05,266.0,0.29
Lorenzo Giustino,34.1,1414.1,1406.6,312.0,1356.1,363.0,1312.9,469.0,1643.8,2019-06,229.0,0.44
Andres Andrade,26.8,1413.3,1365.4,358.0,1414.7,293.0,1406.6,327.0,1584.8,2024-08,286.0,0.22
Matteo Martineau,26.7,1412.0,1398.4,319.0,1346.8,375.0,1388.2,364.0,1624.5,2024-02,316.0,0.12
Maximus Jones,21.0,1411.9,1394.4,323.0,1348.4,373.0,1406.0,328.0,1524.4,2025-04,362.0,-0.01
Luca Potenza,25.1,1411.8,1376.8,342.0,1360.2,359.0,1405.9,329.0,1470.3,2022-06,358.0,0.0
Garrett Johns,24.8,1410.8,1383.5,334.0,1326.9,391.0,1405.4,330.0,1534.5,2025-08,285.0,0.23
Filip Cristian Jianu,24.0,1410.5,1317.1,403.0,1394.2,314.0,1396.5,344.0,1578.5,2019-09,294.0,0.21
Giles Hussey,28.4,1408.0,1388.3,330.0,1314.0,401.0,1366.1,403.0,1487.3,2025-08,326.0,0.1
Mees Rottgering,18.2,1407.6,1378.0,341.0,1408.6,303.0,1437.2,281.0,1486.4,2025-02,649.0,-0.58
Santiago Fa Rodriguez Taverna,26.2,1406.9,1324.2,395.0,1404.3,308.0,1390.2,357.0,1672.6,2022-01,240.0,0.42
Jacopo Vasami,17.6,1406.3,1313.2,409.0,1390.9,319.0,1403.2,333.0,1452.9,2025-06,637.0,-0.56
Denis Yevseyev,32.3,1405.6,1373.2,349.0,1381.0,333.0,1412.7,316.0,1565.7,2024-01,323.0,0.12
Oleg Prihodko,27.9,1404.2,1336.6,385.0,1380.4,335.0,1402.1,335.0,1514.0,2021-12,376.0,-0.02
Facundo Mena,32.8,1403.2,1335.0,387.0,1381.4,332.0,1366.3,402.0,1616.9,2019-09,403.0,-0.09
Mae Malige,19.5,1402.1,1382.9,336.0,1261.7,443.0,1401.1,337.0,1435.8,2025-10,420.0,-0.13
Hernan Casanova,31.6,1401.6,1267.0,439.0,1384.3,328.0,1369.9,396.0,1474.0,2022-09,354.0,0.04
Mathys Erhard,24.0,1401.2,1318.7,399.0,1378.5,339.0,1400.6,338.0,1433.0,2025-10,309.0,0.18
Viktor Durasovic,28.5,1399.7,1389.1,329.0,1337.3,383.0,1343.5,436.0,1494.2,2025-02,247.0,0.41
Juan Bautista Torres,23.5,1399.7,1301.9,414.0,1390.0,321.0,1399.8,339.0,1586.6,2022-07,381.0,-0.02
Patrick Zahraj,26.2,1397.7,1427.6,289.0,1274.2,433.0,1409.3,324.0,1596.7,2025-03,241.0,0.44
Alexey Vatutin,32.9,1397.4,1376.6,343.0,1348.2,374.0,1362.6,407.0,1637.3,2018-04,379.0,-0.01
Diego Dedura Palomero,17.5,1396.5,1281.4,428.0,1378.6,338.0,1398.2,341.0,1419.0,2025-09,357.0,0.05
Michael Geerts,30.7,1395.6,1384.4,333.0,1345.7,378.0,1341.4,440.0,1540.6,2023-03,352.0,0.07
Adrian Andreev,24.4,1395.6,1346.6,371.0,1409.2,302.0,1337.8,444.0,1642.9,2023-01,800.0,-0.75
Lautaro Midon,21.5,1394.7,1299.9,417.0,1378.8,337.0,1397.3,342.0,1498.4,2025-06,259.0,0.38
Milos Karol,22.8,1392.2,1344.6,375.0,1355.6,364.0,1396.1,345.0,1457.6,2025-10,424.0,-0.11
Nikolas Sanchez Izquierdo,26.5,1386.3,1244.1,454.0,1373.1,345.0,1393.2,349.0,1517.8,2022-06,300.0,0.24
Philip Henning,24.5,1385.7,1367.2,355.0,1350.4,371.0,1442.9,270.0,1559.8,2021-09,359.0,0.06
Tom Paris,23.1,1385.6,1346.2,372.0,1346.1,377.0,1392.8,351.0,1459.7,2025-09,262.0,0.38
Alfredo Perez,28.4,1384.5,1342.8,377.0,1386.1,326.0,1392.2,353.0,1451.2,2025-10,315.0,0.2
Philip Sekulic,22.1,1381.5,1358.4,363.0,1269.5,439.0,1352.6,422.0,1533.1,2024-07,465.0,-0.19
Henry Searle,19.5,1381.1,1347.4,370.0,1308.6,403.0,1366.9,399.0,1474.6,2025-06,391.0,-0.01
Daniel Michalski,25.6,1380.7,1382.7,337.0,1354.1,368.0,1440.4,275.0,1590.8,2020-02,264.0,0.38
Jacopo Berrettini,26.8,1380.0,1314.2,407.0,1372.3,346.0,1390.0,358.0,1592.3,2024-05,331.0,0.16
Max Houkes,25.3,1378.8,1269.8,436.0,1370.6,348.0,1355.5,419.0,1481.3,2025-03,272.0,0.36
Robin Bertrand,22.6,1378.4,1351.9,367.0,1292.0,419.0,1389.2,361.0,1540.9,2024-07,302.0,0.26
Jie Cui,27.7,1377.0,1350.3,369.0,1246.4,451.0,1388.5,363.0,1491.5,2025-05,311.0,0.23
Pol Martin Tiffon,26.1,1377.0,1316.0,405.0,1372.2,347.0,1355.7,418.0,1512.6,2025-03,301.0,0.26
Tung Lin Wu,27.4,1376.0,1341.2,382.0,1406.1,307.0,1347.4,429.0,1605.0,2023-04,511.0,-0.26
Rudolf Molleker,24.8,1374.2,1330.4,392.0,1366.7,352.0,1356.4,416.0,1712.9,2019-06,423.0,-0.07
Govind Nanda,24.4,1374.0,1351.5,368.0,1301.6,411.0,1387.0,367.0,1501.0,2022-09,508.0,-0.25
Bor Artnak,21.3,1371.5,1341.6,379.0,1421.9,286.0,1435.7,285.0,1587.4,2022-09,466.0,-0.16
Benoit Paire,36.3,1370.9,1345.8,374.0,1389.9,322.0,1416.5,307.0,1909.0,2013-05,735.0,-0.62
Nicolas Alvarez Varona,24.3,1370.4,1390.5,326.0,1314.4,400.0,1385.2,371.0,1526.2,2022-11,325.0,0.2
Miguel Tobon,19.3,1369.5,1341.5,380.0,1359.7,361.0,1395.7,347.0,1600.3,1995-09,571.0,-0.36
Giovanni Fonio,27.3,1369.2,1380.3,340.0,1329.5,389.0,1384.6,374.0,1566.9,2023-02,428.0,-0.07
Dali Blanch,22.6,1367.5,1247.9,452.0,1377.3,341.0,1383.7,376.0,1464.6,2025-08,440.0,-0.09
Blake Ellis,26.1,1365.6,1338.1,383.0,1292.8,417.0,1382.8,378.0,1490.7,2018-02,447.0,-0.11
Hiroki Moriya,34.8,1364.2,1332.7,390.0,1260.6,444.0,1359.4,412.0,1584.0,2012-12,432.0,-0.07
Sascha Gueymard Wayenburg,22.2,1364.1,1317.5,401.0,1387.8,324.0,1346.5,430.0,1563.9,2025-01,219.0,0.61
Tyler Zink,24.7,1363.6,1341.5,381.0,1270.2,438.0,1396.6,343.0,1473.9,2025-10,299.0,0.3
Stefan Dostanic,23.8,1363.3,1335.0,388.0,1291.6,420.0,1381.6,379.0,1383.6,2025-08,422.0,-0.04
Aidan Mayo,22.2,1361.9,1353.1,366.0,1270.6,437.0,1387.1,366.0,1541.1,2024-11,318.0,0.25
Raul Brancaccio,28.4,1361.8,1333.6,389.0,1355.0,366.0,1350.4,425.0,1644.9,2023-01,396.0,0.03
Maximilian Neuchrist,34.1,1360.8,1323.5,397.0,1334.1,387.0,1349.9,426.0,1549.9,2023-04,537.0,-0.27
Khumoun Sultanov,26.9,1356.8,1344.5,376.0,1266.5,441.0,1389.1,362.0,1553.9,2025-02,,
Matias Soto,26.5,1353.4,1298.1,420.0,1346.2,376.0,1376.7,384.0,1461.2,2025-03,275.0,0.4
Omar Jasika,28.4,1352.0,1332.5,391.0,1273.0,434.0,1270.6,475.0,1669.1,2017-02,310.0,0.28
Kokoro Isomura,22.7,1351.8,1326.9,394.0,1285.9,422.0,1375.9,385.0,1428.8,2024-11,479.0,-0.15
Federico Arnaboldi,25.2,1350.5,1298.3,419.0,1325.1,393.0,1344.7,433.0,1623.0,2024-08,389.0,0.06
Toby Alex Kodat,22.4,1347.9,1297.2,423.0,1310.1,402.0,1374.0,388.0,1535.4,2024-05,593.0,-0.36
Micah Braswell,23.9,1346.1,1312.6,410.0,1283.1,424.0,1373.1,389.0,1418.6,2025-01,616.0,-0.39
Kaichi Uchida,31.1,1345.2,1321.5,398.0,1306.0,406.0,1385.3,370.0,1571.8,2023-02,328.0,0.24
Gabi Adrian Boitan,26.2,1345.2,1297.4,422.0,1341.6,380.0,1422.6,302.0,1488.6,2022-03,334.0,0.22
Christian Langmo,29.2,1344.0,1313.5,408.0,1190.6,473.0,1372.0,390.0,1411.8,2023-04,327.0,0.25
Ergi Kirkin,26.6,1343.6,1323.7,396.0,1328.9,390.0,1358.8,413.0,1516.7,2022-05,476.0,-0.13
Aleksandre Bakshi,28.1,1340.0,1316.5,404.0,1420.0,288.0,1420.0,304.0,1613.0,2024-07,538.0,-0.25
Charles Broom,27.5,1337.9,1299.4,418.0,1279.0,427.0,1371.4,392.0,1536.4,2024-06,350.0,0.19
Franco Roncadelli,25.7,1337.4,1233.3,462.0,1332.2,388.0,1368.7,397.0,1399.7,2025-06,366.0,0.14
Robert Strombachs,26.0,1336.7,1355.9,364.0,1277.0,429.0,1368.4,398.0,1479.9,2025-05,386.0,0.09
Jelle Sels,30.1,1333.2,1364.8,359.0,1297.9,415.0,1262.9,476.0,1640.8,2022-11,380.0,0.11
Aryan Shah,19.9,1333.2,1335.6,386.0,1275.1,432.0,1366.6,400.0,1524.6,2025-07,385.0,0.1
Cannon Kingsley,24.4,1331.6,1317.3,402.0,1250.6,448.0,1365.8,404.0,1468.0,2023-09,568.0,-0.29
Pedro Sakamoto,31.9,1330.6,1282.3,427.0,1319.4,397.0,1365.3,405.0,1495.6,2019-05,418.0,0.02
Daniel Dutra Da Silva,37.3,1327.0,1258.0,447.0,1302.0,410.0,1349.6,427.0,1519.5,2009-02,329.0,0.27
Yusuke Takahashi,28.0,1325.1,1302.5,413.0,1291.1,421.0,1362.5,408.0,1451.5,2018-01,427.0,0.01
Andrea Picchione,27.2,1324.4,1266.5,440.0,1305.2,407.0,1362.2,409.0,1366.1,2024-04,395.0,0.09
Patrick Maloney,25.6,1320.7,1273.3,434.0,1322.0,396.0,1370.7,394.0,1467.5,2025-07,343.0,0.23
Florent Bax,26.2,1319.7,1292.0,425.0,1301.3,412.0,1359.9,411.0,1449.1,2025-04,312.0,0.33
Corentin Denolly,28.3,1317.9,1268.4,438.0,1277.9,428.0,1345.6,432.0,1455.6,2025-03,375.0,0.15
Renzo Olivo,33.2,1317.5,1296.5,424.0,1292.8,418.0,1330.5,460.0,1643.4,2015-02,412.0,0.05
Tiago Pereira,21.3,1313.8,1280.6,429.0,1306.9,405.0,1356.9,415.0,1406.9,2025-08,280.0,0.44
Olle Wallin,23.9,1312.4,1274.3,433.0,1308.4,404.0,1356.2,417.0,1488.2,2025-07,434.0,0.01
Lukas Pokorny,23.2,1310.5,1300.8,416.0,1262.6,442.0,1355.3,420.0,1435.5,2025-05,458.0,-0.04
Blaise Bicknell,23.8,1308.3,1301.8,415.0,1270.9,435.0,1404.1,331.0,1587.2,2024-02,524.0,-0.18
Saba Purtseladze,24.1,1308.0,1297.9,421.0,1209.8,467.0,1332.1,453.0,1466.8,2025-05,288.0,0.42
Maxime Janvier,28.9,1305.8,1271.1,435.0,1285.1,423.0,1351.2,423.0,1601.5,2019-09,532.0,-0.19
Max Wiskandt,23.7,1304.2,1260.1,445.0,1297.7,416.0,1324.9,465.0,1454.0,2025-04,436.0,0.01
Dan Martin,26.4,1301.9,1236.6,459.0,1305.2,408.0,1323.1,467.0,1343.8,2025-09,451.0,-0.02
Taha Baadi,24.1,1300.1,1290.7,426.0,1256.4,447.0,1314.3,468.0,1300.1,2025-09,670.0,-0.41
Renta Tokuda,27.5,1297.0,1275.2,432.0,1209.7,468.0,1348.5,428.0,1380.8,2018-05,313.0,0.35
Mateus Alves,24.7,1291.6,1175.5,473.0,1298.3,413.0,1345.8,431.0,1422.1,2024-11,446.0,0.0
Carlos Sanchez Jover,25.1,1289.4,1228.7,463.0,1269.1,440.0,1344.7,434.0,1440.5,2023-09,368.0,0.19
Darwin Blanch,18.0,1287.4,1264.8,441.0,1241.2,456.0,1343.7,435.0,1429.2,2025-08,335.0,0.29
Keegan Smith,27.3,1287.1,1258.9,446.0,1186.6,474.0,1343.5,437.0,1403.9,2021-12,485.0,-0.08
Gonzalo Villanueva,30.7,1284.9,1196.5,470.0,1275.2,431.0,1342.4,438.0,1454.7,2022-05,344.0,0.27
Naoki Nakagawa,28.7,1284.8,1268.7,437.0,1146.6,476.0,1342.4,439.0,1327.7,2024-09,641.0,-0.35
Marek Gengel,30.0,1282.0,1263.4,443.0,1195.7,470.0,1300.6,471.0,1505.8,2023-01,320.0,0.35
Guido Ivan Justo,27.8,1279.4,1225.4,464.0,1270.8,436.0,1339.7,441.0,1339.2,2025-09,369.0,0.21
Oleksandr Ovcharenko,23.9,1277.8,1263.1,444.0,1241.1,457.0,1338.9,442.0,1385.7,2025-02,490.0,-0.08
Andrew Fenty,25.6,1276.2,1255.2,449.0,1248.1,449.0,1338.1,443.0,1296.1,2025-10,439.0,0.04
Conner Huertas Del Pino,29.5,1275.6,1280.3,430.0,1244.5,452.0,1337.8,445.0,1354.2,2025-04,599.0,-0.27
Kasidit Samrej,24.7,1274.0,1254.6,450.0,1351.1,370.0,1387.0,368.0,1424.3,2019-04,404.0,0.12
Neil Oberleitner,26.1,1269.7,1240.1,457.0,1246.9,450.0,1334.9,447.0,1378.0,2024-07,429.0,0.07
Karan Singh,22.2,1266.6,1221.1,467.0,1280.2,426.0,1333.3,449.0,1339.8,2025-02,456.0,0.01
Masamichi Imamura,26.9,1266.2,1240.1,458.0,1243.1,453.0,1333.1,450.0,1394.5,2024-11,569.0,-0.21
Lucas Poullain,29.8,1265.4,1246.4,453.0,1229.9,463.0,1332.7,451.0,1590.8,2023-10,370.0,0.22
Pedro Araujo,23.5,1265.1,1244.0,455.0,1213.7,465.0,1332.6,452.0,1307.5,2025-01,521.0,-0.12
Alexandr Binda,23.9,1263.6,1233.9,461.0,1241.8,454.0,1331.8,455.0,1450.9,2025-07,397.0,0.15
Luciano Emanuel Ambrogi,21.8,1263.1,1182.7,472.0,1260.4,445.0,1331.6,456.0,1410.3,2024-09,450.0,0.03
Federico Bondioli,20.3,1262.3,1200.2,469.0,1275.7,430.0,1331.1,458.0,1422.6,2025-06,409.0,0.13
Juan Alejandro Hernandez Serrano,26.3,1261.1,1250.0,451.0,1212.6,466.0,1330.6,459.0,1300.9,2025-06,415.0,0.12
Miguel Damas,25.7,1260.0,1236.1,460.0,1236.6,461.0,1330.0,461.0,1310.3,2022-04,333.0,0.34
Roberto Cid,32.0,1254.2,1263.4,442.0,1221.8,464.0,1331.5,457.0,1621.4,2018-06,373.0,0.23
Maxime Chazal,32.3,1252.4,1171.7,474.0,1241.3,455.0,1326.2,462.0,1382.8,2015-09,572.0,-0.2
Max Alcala Gurri,23.0,1251.3,1223.0,466.0,1238.0,460.0,1325.7,463.0,1332.3,2022-04,408.0,0.14
Moerani Bouzige,26.2,1250.7,1223.5,465.0,1235.3,462.0,1325.3,464.0,1416.7,2024-12,317.0,0.4
Mariano Kestelboim,29.7,1247.7,1195.3,471.0,1238.6,459.0,1323.9,466.0,1312.1,2025-06,402.0,0.16
Sebastian Gima,23.4,1220.7,1220.4,468.0,1194.8,471.0,1310.4,470.0,1251.0,2025-08,557.0,-0.16
Alex Marti Pujolras,26.5,1197.4,1240.2,456.0,1172.4,475.0,1298.7,472.0,1359.7,2023-04,438.0,0.08
Lorenzo Carboni,19.6,1195.3,1155.0,475.0,1198.6,469.0,1297.7,473.0,1325.2,2023-08,425.0,0.11
Juan Carlos Aguilar,26.6,1150.0,1110.4,476.0,1193.8,472.0,1275.0,474.0,1243.9,2025-01,497.0,-0.04
,,,,,,,,,,,,
